Unique ID,Title,Authors,Authors-revised,Authors (Full Names),Authors (Full Names)-revised
WOS:000546677400002,Parallel algorithms for finding connected components using linear algebra,"Zhang, YZ|Azad, A|Buluc, A","Zhang, YZ|Azad, A|Buluc, A","Zhang, Yongzhe|Azad, Ariful|Buluc, Aydin","Zhang, Yongzhe|Azad, Ariful|Buluc, Aydin"
WOS:000508190300015,The parallelism motifs of genomic data analysis,"Yelick, K|Buluc, A|Awan, M|Azad, A|Brock, B|Egan, R|Ekanayake, S|Ellis, M|Georganas, E|Guidi, G|Hofmeyr, S|Selvitopi, O|Teodoropol, C|Oliker, L","Yelick, K|Buluc, A|Awan, M|Azad, A|Brock, B|Egan, R|Ekanayake, S|Ellis, M|Georganas, E|Guidi, G|Hofmeyr, S|Selvitopi, O|Teodoropol, C|Oliker, L","Yelick, Katherine|Buluc, Aydin|Awan, Muaaz|Azad, Ariful|Brock, Benjamin|Egan, Rob|Ekanayake, Saliya|Ellis, Marquita|Georganas, Evangelos|Guidi, Giulia|Hofmeyr, Steven|Selvitopi, Oguz|Teodoropol, Cristina|Oliker, Leonid","Yelick, Katherine|Buluc, Aydin|Awan, Muaaz|Azad, Ariful|Brock, Benjamin|Egan, Rob|Ekanayake, Saliya|Ellis, Marquita|Georganas, Evangelos|Guidi, Giulia|Hofmeyr, Steven|Selvitopi, Oguz|Teodoropol, Cristina|Oliker, Leonid"
WOS:000501649400011,"Performance optimization, modeling and analysis of sparse matrix-matrix products on multi-core and many-core processors","Nagasaka, Y|Matsuoka, S|Azad, A|Buluc, A","Nagasaka, Y|Matsuoka, S|Azad, A|Buluc, A","Nagasaka, Yusuke|Matsuoka, Satoshi|Azad, Ariful|Buluc, Aydin","Nagasaka, Yusuke|Matsuoka, Satoshi|Azad, Ariful|Buluc, Aydin"
WOS:000539043300001,LACC: A Linear-Algebraic Algorithm for Finding Connected Components in Distributed Memory,"Azad, A|Buluc, A","Azad, A|Buluc, A","Azad, Ariful|Buluc, Aydin","Azad, Ariful|Buluc, Aydin"
WOS:000510337700019,A community effort to create standards for evaluating tumor subclonal reconstruction,"Salcedo, A|Tarabichi, M|Espiritu, SMG|Deshwar, AG|David, M|Wilson, NM|Dentro, S|Wintersinger, JA|Liu, LY|Ko, M|Sivanandan, S|Zhang, HJ|Zhu, KY|Yang, THO|Chilton, JM|Buchanan, A|Lalansingh, CM|P'ng, C|Anghel, CV|Umar, I|Lo, B|Zou, W|Simpson, JT|Stuart, JM|Anastassiou, D|Guan, YF|Ewing, AD|Ellrott, K|Wedge, DC|Morris, Q|Van Loo, P|Boutros, PC|Jha, A|Huang, TX|Yang, TP|Peifer, M|Sahinalp, C|Malikic, S|V?zquez-Garc?a, I|Mustonen, V|Yang, HT|Lee, KR|Ji, Y|Sengupta, S|Rudewicz, J|Nikolski, M|Schaeverbeke, Q|Yuan, K|Markowetz, F|Macintyre, G|Cmero, M|Chaudhary, B|Leshchiner, I|Livitz, D|Getz, G|Loher, P|Yu, KX|Wang, WY|Zhu, HT","Salcedo, A|Tarabichi, M|Espiritu, SMG|Deshwar, AG|David, M|Wilson, NM|Dentro, S|Wintersinger, JA|Liu, LY|Ko, M|Sivanandan, S|Zhang, HJ|Zhu, KY|Yang, THO|Chilton, JM|Buchanan, A|Lalansingh, CM|P'ng, C|Anghel, CV|Umar, I|Lo, B|Zou, W|Simpson, JT|Stuart, JM|Anastassiou, D|Guan, YF|Ewing, AD|Ellrott, K|Wedge, DC|Morris, Q|Van Loo, P|Boutros, PC|Jha, A|Huang, TX|Yang, TP|Peifer, M|Sahinalp, C|Malikic, S|V?zquez-Garc?a, I|Mustonen, V|Yang, HT|Lee, KR|Ji, Y|Sengupta, S|Rudewicz, J|Nikolski, M|Schaeverbeke, Q|Yuan, K|Markowetz, F|Macintyre, G|Cmero, M|Chaudhary, B|Leshchiner, I|Livitz, D|Getz, G|Loher, P|Yu, KX|Wang, WY|Zhu, HT","Salcedo, Adriana|Tarabichi, Maxime|Espiritu, Shadrielle Melijah G.|Deshwar, Amit G.|David, Matei|Wilson, Nathan M.|Dentro, Stefan|Wintersinger, Jeff A.|Liu, Lydia Y.|Ko, Minjeong|Sivanandan, Srinivasan|Zhang, Hongjiu|Zhu, Kaiyi|Ou Yang, Tai-Hsien|Chilton, John M.|Buchanan, Alex|Lalansingh, Christopher M.|P'ng, Christine|Anghel, Catalina V.|Umar, Imaad|Lo, Bryan|Zou, William|Simpson, Jared T.|Stuart, Joshua M.|Anastassiou, Dimitris|Guan, Yuanfang|Ewing, Adam D.|Ellrott, Kyle|Wedge, David C.|Morris, Quaid|Van Loo, Peter|Boutros, Paul C.|Jha, Alokkumar|Huang, Tanxiao|Yang, Tsun-Po|Peifer, Martin|Sahinalp, Cenk|Malikic, Salem|Vazquez-Garcia, Ignacio|Mustonen, Ville|Yang, Hsih-Te|Lee, Ken-Ray|Ji, Yuan|Sengupta, Subhajit|Rudewicz, Justine|Nikolski, Macha|Schaeverbeke, Quentin|Yuan, Ke|Markowetz, Florian|Macintyre, Geoff|Cmero, Marek|Chaudhary, Belal|Leshchiner, Ignaty|Livitz, Dimitri|Getz, Gad|Loher, Phillipe|Yu, Kaixian|Wang, Wenyi|Zhu, Hongtu","Salcedo, Adriana|Tarabichi, Maxime|Espiritu, Shadrielle Melijah G.|Deshwar, Amit G.|David, Matei|Wilson, Nathan M.|Dentro, Stefan|Wintersinger, Jeff A.|Liu, Lydia Y.|Ko, Minjeong|Sivanandan, Srinivasan|Zhang, Hongjiu|Zhu, Kaiyi|Ou Yang, Tai-Hsien|Chilton, John M.|Buchanan, Alex|Lalansingh, Christopher M.|P'ng, Christine|Anghel, Catalina V.|Umar, Imaad|Lo, Bryan|Zou, William|Simpson, Jared T.|Stuart, Joshua M.|Anastassiou, Dimitris|Guan, Yuanfang|Ewing, Adam D.|Ellrott, Kyle|Wedge, David C.|Morris, Quaid|Van Loo, Peter|Boutros, Paul C.|Jha, Alokkumar|Huang, Tanxiao|Yang, Tsun-Po|Peifer, Martin|Sahinalp, Cenk|Malikic, Salem|Vazquez-Garcia, Ignacio|Mustonen, Ville|Yang, Hsih-Te|Lee, Ken-Ray|Ji, Yuan|Sengupta, Subhajit|Rudewicz, Justine|Nikolski, Macha|Schaeverbeke, Quentin|Yuan, Ke|Markowetz, Florian|Macintyre, Geoff|Cmero, Marek|Chaudhary, Belal|Leshchiner, Ignaty|Livitz, Dimitri|Getz, Gad|Loher, Phillipe|Yu, Kaixian|Wang, Wenyi|Zhu, Hongtu"
WOS:000461866400037,Protecting Genomic Data Privacy with Probabilistic Modeling,"Simmons, S|Berger, B|Sahinalp, C","Simmons, S|Berger, B|Sahinalp, C","Simmons, Sean|Berger, Bonnie|Sahinalp, Cenk","Simmons, Sean|Berger, Bonnie|Sahinalp, Cenk"
WOS:000438743900001,Preface: Selected Articles from RECOMB 2017,"Sahinalp, C","Sahinalp, C","Sahinalp, Cenk","Sahinalp, Cenk"
WOS:000434283300011,Ultra High-Dimensional Nonlinear Feature Selection for Big Biological Data,"Yamada, M|Tang, JL|Lugo-Martinez, J|Hodzic, E|Shrestha, R|Saha, A|Ouyang, H|Yin, DW|Mamitsuka, H|Sahinalp, C|Radivojac, P|Menczer, F|Chang, Y","Yamada, M|Tang, JL|Lugo-Martinez, J|Hodzic, E|Shrestha, R|Saha, A|Ouyang, H|Yin, DW|Mamitsuka, H|Sahinalp, C|Radivojac, P|Menczer, F|Chang, Y","Yamada, Makoto|Tang, Jiliang|Lugo-Martinez, Jose|Hodzic, Ermin|Shrestha, Raunak|Saha, Avishek|Ouyang, Hua|Yin, Dawei|Mamitsuka, Hiroshi|Sahinalp, Cenk|Radivojac, Predrag|Menczer, Filippo|Chang, Yi","Yamada, Makoto|Tang, Jiliang|Lugo-Martinez, Jose|Hodzic, Ermin|Shrestha, Raunak|Saha, Avishek|Ouyang, Hua|Yin, Dawei|Mamitsuka, Hiroshi|Sahinalp, Cenk|Radivojac, Predrag|Menczer, Filippo|Chang, Yi"
WOS:000433621000009,Analysis of the androgen receptor-regulated lncRNA landscape identifies a role for ARLNC1 in prostate cancer progression,"Zhang, YJ|Pitchiaya, S|Cieslik, M|Niknafs, YS|Tien, JCY|Hosono, Y|Iyer, MK|Yazdani, S|Subramaniam, S|Shukla, SK|Jiang, X|Wang, LS|Liu, TY|Uhl, M|Gawronski, AR|Qiao, YY|Xiao, LB|Dhanasekaran, SM|Juckette, KM|Kunju, LP|Cao, XH|Patel, U|Batish, M|Shukla, GC|Paulsen, MT|Ljungman, M|Jiang, H|Mehra, R|Backofen, R|Sahinalp, CS|Freier, SM|Watt, AT|Guo, SL|Wei, JT|Feng, FY|Malik, R|Chinnaiyan, AM","Zhang, YJ|Pitchiaya, S|Cieslik, M|Niknafs, YS|Tien, JCY|Hosono, Y|Iyer, MK|Yazdani, S|Subramaniam, S|Shukla, SK|Jiang, X|Wang, LS|Liu, TY|Uhl, M|Gawronski, AR|Qiao, YY|Xiao, LB|Dhanasekaran, SM|Juckette, KM|Kunju, LP|Cao, XH|Patel, U|Batish, M|Shukla, GC|Paulsen, MT|Ljungman, M|Jiang, H|Mehra, R|Backofen, R|Sahinalp, CS|Freier, SM|Watt, AT|Guo, SL|Wei, JT|Feng, FY|Malik, R|Chinnaiyan, AM","Zhang, Yajia|Pitchiaya, Sethuramasundaram|Cieslik, Marcin|Niknafs, Yashar S.|Tien, Jean C. -Y.|Hosono, Yasuyuki|Iyer, Matthew K.|Yazdani, Sahr|Subramaniam, Shruthi|Shukla, Sudhanshu K.|Jiang, Xia|Wang, Lisha|Liu, Tzu-Ying|Uhl, Michael|Gawronski, Alexander R.|Qiao, Yuanyuan|Xiao, Lanbo|Dhanasekaran, Saravana M.|Juckette, Kristin M.|Kunju, Lakshmi P.|Cao, Xuhong|Patel, Utsav|Batish, Mona|Shukla, Girish C.|Paulsen, Michelle T.|Ljungman, Mats|Jiang, Hui|Mehra, Rohit|Backofen, Rolf|Sahinalp, Cenk S.|Freier, Susan M.|Watt, Andrew T.|Guo, Shuling|Wei, John T.|Feng, Felix Y.|Malik, Rohit|Chinnaiyan, Arul M.","Zhang, Yajia|Pitchiaya, Sethuramasundaram|Cieslik, Marcin|Niknafs, Yashar S.|Tien, Jean C. -Y.|Hosono, Yasuyuki|Iyer, Matthew K.|Yazdani, Sahr|Subramaniam, Shruthi|Shukla, Sudhanshu K.|Jiang, Xia|Wang, Lisha|Liu, Tzu-Ying|Uhl, Michael|Gawronski, Alexander R.|Qiao, Yuanyuan|Xiao, Lanbo|Dhanasekaran, Saravana M.|Juckette, Kristin M.|Kunju, Lakshmi P.|Cao, Xuhong|Patel, Utsav|Batish, Mona|Shukla, Girish C.|Paulsen, Michelle T.|Ljungman, Mats|Jiang, Hui|Mehra, Rohit|Backofen, Rolf|Sahinalp, Cenk S.|Freier, Susan M.|Watt, Andrew T.|Guo, Shuling|Wei, John T.|Feng, Felix Y.|Malik, Rohit|Chinnaiyan, Arul M."
WOS:000438571600001,The long noncoding RNA landscape of neuroendocrine prostate cancer and its clinical implications,"Ramnarine, VR|Alshalalfa, M|Mo, F|Nabavi, N|Erho, N|Takhar, M|Shukin, R|Brahmbhatt, S|Gawronski, A|Kobelev, M|Nouri, M|Lin, D|Tsai, H|Lotan, TL|Karnes, RJ|Rubin, MA|Zoubeidi, A|Gleave, ME|Sahinalp, C|Wyatt, AW|Volik, SV|Beltran, H|Davicioni, E|Wang, YZ|Collins, CC","Ramnarine, VR|Alshalalfa, M|Mo, F|Nabavi, N|Erho, N|Takhar, M|Shukin, R|Brahmbhatt, S|Gawronski, A|Kobelev, M|Nouri, M|Lin, D|Tsai, H|Lotan, TL|Karnes, RJ|Rubin, MA|Zoubeidi, A|Gleave, ME|Sahinalp, C|Wyatt, AW|Volik, SV|Beltran, H|Davicioni, E|Wang, YZ|Collins, CC","Ramnarine, Varune Rohan|Alshalalfa, Mohammed|Mo, Fan|Nabavi, Noushin|Erho, Nicholas|Takhar, Mandeep|Shukin, Robert|Brahmbhatt, Sonal|Gawronski, Alexander|Kobelev, Maxim|Nouri, Mannan|Lin, Dong|Tsai, Harrison|Lotan, Tamara L.|Karnes, R. Jefferey|Rubin, Mark A.|Zoubeidi, Amina|Gleave, Martin E.|Sahinalp, Cenk|Wyatt, Alexander W.|Volik, Stanislav V.|Beltran, Himisha|Davicioni, Elai|Wang, Yuzhuo|Collins, Colin C.","Ramnarine, Varune Rohan|Alshalalfa, Mohammed|Mo, Fan|Nabavi, Noushin|Erho, Nicholas|Takhar, Mandeep|Shukin, Robert|Brahmbhatt, Sonal|Gawronski, Alexander|Kobelev, Maxim|Nouri, Mannan|Lin, Dong|Tsai, Harrison|Lotan, Tamara L.|Karnes, R. Jefferey|Rubin, Mark A.|Zoubeidi, Amina|Gleave, Martin E.|Sahinalp, Cenk|Wyatt, Alexander W.|Volik, Stanislav V.|Beltran, Himisha|Davicioni, Elai|Wang, Yuzhuo|Collins, Colin C."
WOS:000410417300008,PRESAGE: PRivacy-preserving gEnetic testing via SoftwAre Guard Extension,"Chen, F|Wang, CH|Dai, WR|Jiang, XQ|Mohammed, N|Al Aziz, MM|Sadat, MN|Sahinalp, C|Lauter, K|Wang, S","Chen, F|Wang, CH|Dai, WR|Jiang, XQ|Mohammed, N|Al Aziz, MM|Sadat, MN|Sahinalp, C|Lauter, K|Wang, S","Chen, Feng|Wang, Chenghong|Dai, Wenrui|Jiang, Xiaoqian|Mohammed, Noman|Al Aziz, Md Momin|Sadat, Md Nazmus|Sahinalp, Cenk|Lauter, Kristin|Wang, Shuang","Chen, Feng|Wang, Chenghong|Dai, Wenrui|Jiang, Xiaoqian|Mohammed, Noman|Al Aziz, Md Momin|Sadat, Md Nazmus|Sahinalp, Cenk|Lauter, Kristin|Wang, Shuang"
WOS:000397091600004,SiNVICT: ultra-sensitive detection of single nucleotide variants and indels in circulating tumour DNA,"Kockan, C|Hach, F|Sarrafi, I|Bell, RH|McConeghy, B|Beja, K|Haegert, A|Wyatt, AW|Volik, SV|Chi, KN|Collins, CC|Sahinalp, C","Kockan, C|Hach, F|Sarrafi, I|Bell, RH|McConeghy, B|Beja, K|Haegert, A|Wyatt, AW|Volik, SV|Chi, KN|Collins, CC|Sahinalp, C","Kockan, Can|Hach, Faraz|Sarrafi, Iman|Bell, Robert H.|McConeghy, Brian|Beja, Kevin|Haegert, Anne|Wyatt, Alexander W.|Volik, Stanislav V.|Chi, Kim N.|Collins, Colin C.|Sahinalp, Cenk","Kockan, Can|Hach, Faraz|Sarrafi, Iman|Bell, Robert H.|McConeghy, Brian|Beja, Kevin|Haegert, Anne|Wyatt, Alexander W.|Volik, Stanislav V.|Chi, Kim N.|Collins, Colin C.|Sahinalp, Cenk"
WOS:000385256500021,The lncRNA landscape of breast cancer reveals a role for DSCAM-AS1 in breast cancer progression,"Niknafs, YS|Han, SM|Ma, T|Speers, C|Zhang, C|Wilder-Romans, K|Iyer, MK|Pitchiaya, S|Malik, R|Hosono, Y|Prensner, JR|Poliakov, A|Singhal, U|Xiao, LB|Kregel, S|Siebenaler, RF|Zhao, SG|Uhl, M|Gawronski, A|Hayes, DF|Pierce, LJ|Cao, XH|Collins, C|Backofen, R|Sahinalp, CS|Rae, JM|Chinnaiyan, AM|Feng, FY","Niknafs, YS|Han, SM|Ma, T|Speers, C|Zhang, C|Wilder-Romans, K|Iyer, MK|Pitchiaya, S|Malik, R|Hosono, Y|Prensner, JR|Poliakov, A|Singhal, U|Xiao, LB|Kregel, S|Siebenaler, RF|Zhao, SG|Uhl, M|Gawronski, A|Hayes, DF|Pierce, LJ|Cao, XH|Collins, C|Backofen, R|Sahinalp, CS|Rae, JM|Chinnaiyan, AM|Feng, FY","Niknafs, Yashar S.|Han, Sumin|Ma, Teng|Speers, Corey|Zhang, Chao|Wilder-Romans, Kari|Iyer, Matthew K.|Pitchiaya, Sethuramasundaram|Malik, Rohit|Hosono, Yasuyuki|Prensner, John R.|Poliakov, Anton|Singhal, Udit|Xiao, Lanbo|Kregel, Steven|Siebenaler, Ronald F.|Zhao, Shuang G.|Uhl, Michael|Gawronski, Alexander|Hayes, Daniel F.|Pierce, Lori J.|Cao, Xuhong|Collins, Colin|Backofen, Rolf|Sahinalp, Cenk S.|Rae, James M.|Chinnaiyan, Arul M.|Feng, Felix Y.","Niknafs, Yashar S.|Han, Sumin|Ma, Teng|Speers, Corey|Zhang, Chao|Wilder-Romans, Kari|Iyer, Matthew K.|Pitchiaya, Sethuramasundaram|Malik, Rohit|Hosono, Yasuyuki|Prensner, John R.|Poliakov, Anton|Singhal, Udit|Xiao, Lanbo|Kregel, Steven|Siebenaler, Ronald F.|Zhao, Shuang G.|Uhl, Michael|Gawronski, Alexander|Hayes, Daniel F.|Pierce, Lori J.|Cao, Xuhong|Collins, Colin|Backofen, Rolf|Sahinalp, Cenk S.|Rae, James M.|Chinnaiyan, Arul M.|Feng, Felix Y."
WOS:000395772700010,Enabling Privacy-Preserving GWASs in Heterogeneous Human Populations,"Simmons, S|Sahinalp, C|Berger, B","Simmons, S|Sahinalp, C|Berger, B","Simmons, Sean|Sahinalp, Cenk|Berger, Bonnie","Simmons, Sean|Sahinalp, Cenk|Berger, Bonnie"
WOS:000355665800002,Clonality inference in multiple tumor samples using phylogeny,"Malikic, S|McPherson, AW|Donmez, N|Sahinalp, CS","Malikic, S|McPherson, AW|Donmez, N|Sahinalp, CS","Malikic, Salem|McPherson, Andrew W.|Donmez, Nilgun|Sahinalp, Cenk S.","Malikic, Salem|McPherson, Andrew W.|Donmez, Nilgun|Sahinalp, Cenk S."
WOS:000331225100280,"Whole genome sequencing of Turkish genomes reveals functional private alleles and impact of genetic interactions with Europe, Asia and Africa","Gokcumen, O|Alkan, C|Kavak, P|Somel, M|Ugurlu, S|Dal, E|Bugra-Bilge, K|Gungor, T|Sahinalp, C|Ozeren, N|Bekpen, C","Gokcumen, O|Alkan, C|Kavak, P|Somel, M|Ugurlu, S|Dal, E|Bugra-Bilge, K|Gungor, T|Sahinalp, C|Ozeren, N|Bekpen, C","Gokcumen, Omer|Alkan, Can|Kavak, Pinar|Somel, Mehmet|Ugurlu, Serkan|Dal, Elif|Bugra-Bilge, Kuyas|Gungor, Tunga|Sahinalp, Cenk|Ozeren, Nesrin|Bekpen, Cemalettin","Gokcumen, Omer|Alkan, Can|Kavak, Pinar|Somel, Mehmet|Ugurlu, Serkan|Dal, Elif|Bugra-Bilge, Kuyas|Gungor, Tunga|Sahinalp, Cenk|Ozeren, Nesrin|Bekpen, Cemalettin"
WOS:000539417200011,Learning the generative principles of a symbol system from limited examples,"Yuan, L|Xiang, V|Crandall, D|Smith, L","Yuan, L|Xiang, V|Crandall, D|Smith, L","Yuan, Lei|Xiang, Violet|Crandall, David|Smith, Linda","Yuan, Lei|Xiang, Violet|Crandall, David|Smith, Linda"
WOS:000549822000002,Automatic Dense Annotation for Monocular 3D Scene Understanding,"Reza, MA|Chen, K|Naik, A|Crandall, DJ|Jung, SH","Reza, MA|Chen, K|Naik, A|Crandall, DJ|Jung, SH","Reza, Md Alimoor|Chen, Kai|Naik, Akshay|Crandall, David J.|Jung, Soon-Heung","Reza, Md Alimoor|Chen, Kai|Naik, Akshay|Crandall, David J.|Jung, Soon-Heung"
WOS:000489785800010,Automated Ice-Bottom Tracking of 2D and 3D Ice Radar Imagery Using Viterbi and TRW-S,"Berger, V|Xu, MZ|Al-Ibadi, M|Chu, SE|Crandall, D|Paden, J|Fox, GC","Berger, V|Xu, MZ|Al-Ibadi, M|Chu, SE|Crandall, D|Paden, J|Fox, GC","Berger, Victor|Xu, Mingze|Al-Ibadi, Mohanad|Chu, Shane|Crandall, David|Paden, John|Fox, Geoffrey Charles","Berger, Victor|Xu, Mingze|Al-Ibadi, Mohanad|Chu, Shane|Crandall, David|Paden, John|Fox, Geoffrey Charles"
WOS:000478081101313,Using Deep Convolutional Neural Networks to Classify Kidney Neoplasms,"Gondim, D|Al-Obaidy, K|Gibson, N|Ju, YN|Crandall, D|Idrees, M|Eble, J|Grignon, D|Cheng, L","Gondim, D|Al-Obaidy, K|Gibson, N|Ju, YN|Crandall, D|Idrees, M|Eble, J|Grignon, D|Cheng, L","Gondim, Dibson|Al-Obaidy, Khaleel|Gibson, Natasha|Ju, Yingnan|Crandall, David|Idrees, Muhammad|Eble, John|Grignon, David|Cheng, Liang","Gondim, Dibson|Al-Obaidy, Khaleel|Gibson, Natasha|Ju, Yingnan|Crandall, David|Idrees, Muhammad|Eble, John|Grignon, David|Cheng, Liang"
WOS:000478915502272,Using Deep Convolutional Neural Networks to Classify Kidney Neoplasms,"Gondim, D|Al-Obaidy, K|Gibson, N|Ju, YN|Crandall, D|Idrees, M|Eble, J|Grignon, D|Cheng, L","Gondim, D|Al-Obaidy, K|Gibson, N|Ju, YN|Crandall, D|Idrees, M|Eble, J|Grignon, D|Cheng, L","Gondim, Dibson|Al-Obaidy, Khaleel|Gibson, Natasha|Ju, Yingnan|Crandall, David|Idrees, Muhammad|Eble, John|Grignon, David|Cheng, Liang","Gondim, Dibson|Al-Obaidy, Khaleel|Gibson, Natasha|Ju, Yingnan|Crandall, David|Idrees, Muhammad|Eble, John|Grignon, David|Cheng, Liang"
WOS:000463982000009,World Heritage in danger: Big data and remote sensing can help protect sites in conflict zones,"Levin, N|Ali, S|Crandall, D|Kark, S","Levin, N|Ali, S|Crandall, D|Kark, S","Levin, Noam|Ali, Saleem|Crandall, David|Kark, Salit","Levin, Noam|Ali, Saleem|Crandall, David|Kark, Salit"
WOS:000531438102018,Embodied Amodal Recognition: Learning to Move to Perceive Objects,"Yang, JW|Ren, ZL|Xu, MZ|Chen, XL|Crandall, DJ|Parikh, D|Batra, D","Yang, JW|Ren, ZL|Xu, MZ|Chen, XL|Crandall, DJ|Parikh, D|Batra, D","Yang, Jianwei|Ren, Zhile|Xu, Mingze|Chen, Xinlei|Crandall, David J.|Parikh, Devi|Batra, Dhruv","Yang, Jianwei|Ren, Zhile|Xu, Mingze|Chen, Xinlei|Crandall, David J.|Parikh, Devi|Batra, Dhruv"
WOS:000548549200052,Temporal Recurrent Networks for Online Action Detection,"Xu, MZ|Gao, MF|Chen, YT|Davis, LS|Crandall, DJ","Xu, MZ|Gao, MF|Chen, YT|Davis, LS|Crandall, DJ","Xu, Mingze|Gao, Mingfei|Chen, Yi-Ting|Davis, Larry S.|Crandall, David J.","Xu, Mingze|Gao, Mingfei|Chen, Yi-Ting|Davis, Larry S.|Crandall, David J."
WOS:000548549204036,yy Zero-Shot Video Object Segmentation via Attentive Graph Neural Networks,"Wang, WG|Lu, XK|Shen, JB|Crandall, D|Shao, L","Wang, WG|Lu, XK|Shen, JB|Crandall, D|Shao, L","Wang, Wenguan|Lu, Xiankai|Shen, Jianbing|Crandall, David|Shao, Ling","Wang, Wenguan|Lu, Xiankai|Shen, Jianbing|Crandall, David|Shao, Ling"
WOS:000543001500042,The Making of an Accessible Intensive Research Experience,"Menzel, S|Siek, KA|Crandall, D","Menzel, S|Siek, KA|Crandall, D","Menzel, Suzanne|Siek, Katie A.|Crandall, David","Menzel, Suzanne|Siek, Katie A.|Crandall, David"
WOS:000535866906039,A Self Validation Network for Object-Level Human Attention Estimation,"Zhang, ZH|Yu, C|Crandall, D","Zhang, ZH|Yu, C|Crandall, D","Zhang, Zehua|Yu, Chen|Crandall, David","Zhang, Zehua|Yu, Chen|Crandall, David"
WOS:000534424303009,Meta-Reinforced Synthetic Data for One-Shot Fine-Grained Visual Recognition,"Tsutsui, S|Fu, YW|Crandall, D","Tsutsui, S|Fu, YW|Crandall, D","Tsutsui, Satoshi|Fu, Yanwei|Crandall, David","Tsutsui, Satoshi|Fu, Yanwei|Crandall, David"
WOS:000494942307020,Egocentric Vision-based Future Vehicle Localization for Intelligent Driving Assistance Systems,"Yao, Y|Xu, MZ|Choi, C|Crandall, DJ|Atkins, EM|Dariush, B","Yao, Y|Xu, MZ|Choi, C|Crandall, DJ|Atkins, EM|Dariush, B","Yao, Yu|Xu, Mingze|Choi, Chiho|Crandall, David J.|Atkins, Ella M.|Dariush, Behzad","Yao, Yu|Xu, Mingze|Choi, Chiho|Crandall, David J.|Atkins, Ella M.|Dariush, Behzad"
WOS:000474467904059,Can Privacy Be Satisfying? On Improving Viewer Satisfaction for Privacy-Enhanced Photos Using Aesthetic Transforms,"Hasan, R|Li, YF|Hassan, E|Caine, K|Crandall, DJ|Hoyle, R|Kapadia, A","Hasan, R|Li, YF|Hassan, E|Caine, K|Crandall, DJ|Hoyle, R|Kapadia, A","Hasan, Rakibul|Li, Yifang|Hassan, Eman|Caine, Kelly|Crandall, David J.|Hoyle, Roberto|Kapadia, Apu","Hasan, Rakibul|Li, Yifang|Hassan, Eman|Caine, Kelly|Crandall, David J.|Hoyle, Roberto|Kapadia, Apu"
WOS:000469423400158,Observing Pianist Accuracy and Form with Computer Vision,"Lee, J|Doosti, B|Gu, YP|Cartledge, D|Crandall, DJ|Raphael, C","Lee, J|Doosti, B|Gu, YP|Cartledge, D|Crandall, DJ|Raphael, C","Lee, Jangwon|Doosti, Bardia|Gu, Yupeng|Cartledge, David|Crandall, David J.|Raphael, Christopher","Lee, Jangwon|Doosti, Bardia|Gu, Yupeng|Cartledge, David|Crandall, David J.|Raphael, Christopher"
WOS:000453661300008,Reports of the Workshops Held at the 2018 International AAAI Conference on Web and Social Media,"An, JS|Chunara, R|Crandall, DJ|Frajberg, D|French, M|Jansen, BJ|Kulshrestha, J|Mejova, Y|Romero, DM|Salminen, J|Sharma, A|Sheth, A|Tan, CH|Taylor, SH|Wijeratne, S","An, JS|Chunara, R|Crandall, DJ|Frajberg, D|French, M|Jansen, BJ|Kulshrestha, J|Mejova, Y|Romero, DM|Salminen, J|Sharma, A|Sheth, A|Tan, CH|Taylor, SH|Wijeratne, S","An, Jisun|Chunara, Rumi|Crandall, David J.|Frajberg, Darian|French, Megan|Jansen, Bernard J.|Kulshrestha, Juhi|Mejova, Yelena|Romero, Daniel M.|Salminen, Joni|Sharma, Amit|Sheth, Amit|Tan, Chenhao|Taylor, Samuel Hardman|Wijeratne, Sanjaya","An, Jisun|Chunara, Rumi|Crandall, David J.|Frajberg, Darian|French, Megan|Jansen, Bernard J.|Kulshrestha, Juhi|Mejova, Yelena|Romero, Daniel M.|Salminen, Joni|Sharma, Amit|Sheth, Amit|Tan, Chenhao|Taylor, Samuel Hardman|Wijeratne, Sanjaya"
WOS:000456452800003,A View of Their Own: Capturing the Egocentric View of Infants and Toddlers with Head-Mounted Cameras,"Borjon, JI|Schroer, SE|Bambach, S|Slone, LK|Abney, DH|Crandall, DJ|Smith, LB","Borjon, JI|Schroer, SE|Bambach, S|Slone, LK|Abney, DH|Crandall, DJ|Smith, LB","Borjon, Jeremy I.|Schroer, Sara E.|Bambach, Sven|Slone, Lauren K.|Abney, Drew H.|Crandall, David J.|Smith, Linda B.","Borjon, Jeremy I.|Schroer, Sara E.|Bambach, Sven|Slone, Lauren K.|Abney, Drew H.|Crandall, David J.|Smith, Linda B."
WOS:000445318100005,Deepdiary: Lifelogging image captioning and summarization,"Fan, C|Zhang, ZH|Crandall, DJ","Fan, C|Zhang, ZH|Crandall, DJ","Fan, Chenyou|Zhang, Zehua|Crandall, David J.","Fan, Chenyou|Zhang, Zehua|Crandall, David J."
